ticker,last,sprd,bt,ivr_13w,ivr_52w,avrg_price,hv_last_pct,upcoming_earnings
NVDA,177.00,0.14,2.345,7,6,264.57,32.923,05/20/2026 After Market EST
PG,142.78,0.87,0.416,25,28,167.05,19.707,04/24/2026 08:30 AM EST
COST,c101...,8.00,0.989,34,18,1067.78,19.888,05/28/2026 After Market EST
WMT,127.00,0.63,0.668,35,31,134.90,23.112,05/21/2026 08:00 AM EST
NAT,6.14,0.11,-0.508,50,39,6.83,62.609,05/28/2026 Before Market EST
VIX INDEX,24.55,,,52,32,,202.523,
MU,380.36,1.30,1.658,50,61,521.61,79.016,06/24/2026 After Market EST
CCL,25.89,0.11,2.508,48,39,34.53,69.435,06/24/2026 Before Market EST
PFE,27.86,0.06,0.368,54,25,28.80,24.159,05/05/2026 Before Market EST
GOOGL,302.50,0.76,1.101,56,31,358.64,29.041,04/23/2026 After Market EST
C,117.00,1.67,1.116,64,33,129.72,44.542,04/14/2026 Before Market EST
AMZN,213.52,0.39,1.363,60,42,279.52,30.814,04/30/2026 After Market EST
BAC,50.00,0.38,1.243,63,28,59.72,32.595,04/15/2026 08:30 AM EST
AAPL,257.47,0.24,1.104,72,26,291.12,23.677,04/30/2026 After Market EST
TSLA,351.84,0.26,1.929,70,11,402.87,39.284,04/22/2026 After Market EST
DIS,96.21,0.80,1.46,74,37,129.60,24.034,05/06/2026 Before Market EST
UNH,301.10,0.29,0.388,70,31,362.23,29.659,04/21/2026 08:00 AM EST
GS,865.09,6.56,1.315,66,33,955.28,40.761,04/13/2026 Before Market EST
JPM,293.53,2.49,1.061,68,30,333.48,31.300,04/14/2026 08:30 AM EST
JNJ,c240....,1.33,0.34,76,53,239.61,19.334,04/14/2026 08:30 AM EST
KO,77.06,0.18,0.361,77,41,83.57,16.915,04/28/2026 08:30 AM EST
BA,212.20,1.98,1.181,74,29,269.71,33.964,04/22/2026 Before Market EST
PEP,156.70,1.69,0.411,76,58,170.20,21.837,04/16/2026 08:15 AM EST
F,11.55,0.11,1.756,80,37,13.86,34.924,04/29/2026 Before Market EST
XOM,163.50,0.70,0.29,83,47,155.62,34.130,05/01/2026 Before Market EST
META,574.26,1.00,1.297,83,40,854.10,35.656,04/29/2026 After Market EST
GM,73.14,1.49,1.372,87,44,93.77,36.071,04/28/2026 08:30 AM EST
MSFT,372.41,0.24,1.103,78,54,591.14,24.120,04/29/2026 After Market EST
BAK,c3.31,0.14,1.609,,,3.95,91.278,05/12/2026 EST
VUSA AEB,108.3...,0.015,,41,41,,15.635,
